,Institution Name,City,State,Zip Code,Type,Latitude,Longitude,Number of Undergraduate Students,Average Cost for Academic Year Institution,Average Cost for Program Year Institution,Tuition Fee for In-District Students,Tuition Fee for Out-of-State Students,Admission Rate
3143,Hallmark University,San Antonio,TX,78251,2,29.466862,-98.685754,792.0,,17432.0,,,0.5289
3144,Hardin-Simmons University,Abilene,TX,79698-0001,2,32.476434,-99.73564,1323.0,45285.0,,31686.0,31686.0,0.8825
3145,Trinity Valley Community College,Athens,TX,75751,1,32.196596,-95.858513,4591.0,12892.0,,2640.0,5970.0,
3146,Hill College,Hillsboro,TX,76645,1,32.010928,-97.088332,1925.0,14431.0,,3570.0,4720.0,
3147,Houston Baptist University,Houston,TX,77074-3298,2,29.693819,-95.515954,2814.0,46360.0,,36750.0,36750.0,0.8448
3148,University of Houston-Clear Lake,Houston,TX,77058-1002,1,29.582523,-95.098129,6343.0,28856.0,,7698.0,20994.0,0.6937
3149,Houston Community College,Houston,TX,77002,1,29.742114,-95.377319,37871.0,12002.0,,2040.0,5460.0,
3150,University of Houston-Downtown,Houston,TX,77002-1014,1,29.7661,-95.359338,12752.0,23217.0,,7708.0,17524.0,0.8842
3151,University of Houston-Victoria,Victoria,TX,77901,1,28.816248,-96.976334,2699.0,21218.0,,7149.0,16941.0,0.8213
3152,University of Houston,Houston,TX,77204-2018,1,29.720393,-95.343537,37080.0,24130.0,,9699.0,21891.0,0.6624
3153,Howard College,Big Spring,TX,79720,1,32.252292,-101.450104,1652.0,13419.0,,2720.0,5730.0,
3154,Howard Payne University,Brownwood,TX,76801-2794,2,31.716467,-98.985204,721.0,42707.0,,31650.0,31650.0,0.6229
3155,Huston-Tillotson University,Austin,TX,78702-2795,2,30.264667,-97.721691,991.0,25026.0,,14703.0,14703.0,0.5194
3156,University of the Incarnate Word,San Antonio,TX,78209,2,29.46708,-98.46583,4547.0,45505.0,,34400.0,34400.0,0.942
3157,Jacksonville College-Main Campus,Jacksonville,TX,75766-4759,2,31.965846,-95.281311,210.0,18410.0,,7150.0,7150.0,
3158,Jarvis Christian University,Hawkins,TX,75765-1470,2,32.587942,-95.181513,729.0,25149.0,,11720.0,11720.0,
3159,KD Conservatory College of Film and Dramatic Arts,Dallas,TX,75207,3,32.808265,-96.841975,102.0,29143.0,,16850.0,16850.0,0.8621
3160,Kilgore College,Kilgore,TX,75662-3299,1,32.377821,-94.871468,3183.0,14445.0,,2160.0,5256.0,
3161,Lamar University,Beaumont,TX,77705,1,30.042738,-94.072244,8075.0,21570.0,,8690.0,18482.0,0.8373
3162,Lamar State College-Orange,Orange,TX,77630,1,30.0922,-93.732235,1446.0,7872.0,,2832.0,13824.0,
3163,Lamar State College-Port Arthur,Port Arthur,TX,77640,1,29.880385,-93.925886,2567.0,9993.0,,1770.0,7890.0,
3164,Laredo Beauty College Inc,Laredo,TX,78040,3,27.523791,-99.480788,122.0,,10330.0,,,
3165,Laredo College,Laredo,TX,78040-4395,1,27.506477,-99.520772,7564.0,11257.0,,3300.0,5748.0,
3166,Texas A & M International University,Laredo,TX,78041-1900,1,27.571172,-99.436043,6459.0,16313.0,,7846.0,19382.0,0.4788
3167,Lee College,Baytown,TX,77520,1,29.732505,-94.978184,7726.0,12303.0,,2166.0,4302.0,
3168,LeTourneau University,Longview,TX,75602,2,32.46632,-94.726394,1553.0,47233.0,,34470.0,34470.0,0.4883
3169,Lincoln College of Technology-Grand Prairie,Grand Prairie,TX,75052,3,32.701684,-97.056391,1212.0,,38049.0,,,
3170,Lubbock Christian University,Lubbock,TX,79407-2099,2,33.575973,-101.934426,1221.0,38261.0,,26300.0,26300.0,0.8159
3171,College of the Mainland,Texas City,TX,77591-2499,1,29.39581,-94.999602,3161.0,7878.0,,1773.0,3873.0,
3172,University of Mary Hardin-Baylor,Belton,TX,76513-2599,2,31.066793,-97.463471,3013.0,45330.0,,31950.0,31950.0,0.9567
3173,McLennan Community College,Waco,TX,76708,1,31.58947,-97.171228,4979.0,12904.0,,3660.0,5910.0,
3174,McMurry University,Abilene,TX,79697,2,32.429776,-99.748682,1092.0,42284.0,,30422.0,30422.0,0.565
3175,Covenant School of Nursing and Allied Health,Lubbock,TX,79407,2,33.5757,-101.937872,336.0,,,,,
3176,Midland College,Midland,TX,79705,1,32.029646,-102.106153,4737.0,13025.0,,2970.0,5880.0,
3177,Midwestern State University,Wichita Falls,TX,76308-2099,1,33.874809,-98.519386,4421.0,21876.0,,10233.0,12183.0,0.9243
3178,William Edge Institute,New Braunfels,TX,78130-8216,3,29.698282,-98.100952,39.0,,18652.0,,,
3179,Wade College,Dallas,TX,75207,3,32.800854,-96.819516,157.0,24054.0,,17132.0,17132.0,
3180,Southern Careers Institute-Austin,Austin,TX,78744,3,30.226743,-97.784318,1070.0,,25099.0,,,
3181,Tint School of Makeup & Cosmetology,Irving,TX,75061-4235,3,32.829511,-96.983082,57.0,,21701.0,,,
3182,Navarro College,Corsicana,TX,75110,1,32.076061,-96.498731,6277.0,16988.0,,2798.0,6368.0,
3183,Lone Star College System,The Woodlands,TX,77381-4399,1,30.18737,-95.488103,47486.0,14800.0,,2880.0,8070.0,
3184,University of North Texas,Denton,TX,76203-1277,1,33.211178,-97.148422,33023.0,24696.0,,11140.0,20932.0,0.7913
3185,Northeast Texas Community College,Mount Pleasant,TX,75455,1,33.104931,-94.881855,1932.0,15775.0,,3149.0,6449.0,
3186,Oblate School of Theology,San Antonio,TX,78216-6693,2,29.505434,-98.503113,,,,,,
3187,Ocean Corporation,Houston,TX,77099,3,29.665467,-95.57034,176.0,,33018.0,,,
3188,Odessa College,Odessa,TX,79764,1,31.866812,-102.383477,4296.0,12820.0,,2400.0,4566.0,
3189,Ogle School Hair Skin Nails-Arlington,Arlington,TX,76013,3,32.720698,-97.140906,324.0,,23616.0,,,
3190,Ogle School Hair Skin Nails-Ft Worth,Fort Worth,TX,76132-3638,3,32.681742,-97.417657,446.0,,22834.0,,,
3191,Our Lady of the Lake University,San Antonio,TX,78207-4689,2,29.426194,-98.54365,1163.0,40626.0,,31124.0,31124.0,
3192,The University of Texas Rio Grande Valley,Edinburg,TX,78539-2999,1,26.306759,-98.173567,26420.0,17988.0,,9538.0,19333.0,0.877
3193,Texas Southmost College,Brownsville,TX,78520,1,25.899628,-97.492241,3644.0,11204.0,,3148.0,4948.0,
3194,Panola College,Carthage,TX,75633-2397,1,32.156214,-94.356355,1489.0,13246.0,,2208.0,4896.0,
