,Unnamed: 0,Institution Name,City,State,Zip Code,zip,Type,Latitude,Longitude,Number of Undergraduate Students,Average Cost for Academic Year Institution,Average Cost for Program Year Institution,Tuition Fee for In-District Students,Tuition Fee for Out-of-State Students,Admission Rate,county,Median Income,Total Count,Below Poverty,Above Poverty,Poverty Rate
32,32,Dallas Christian College,Dallas,TX,75234-7299,75234,Private for Profit,32.913692,-96.887117,245.0,34925.0,,20580.0,20580.0,0.5,Dallas,70732,2573799,359882,2213917,13.982521556656131
33,33,Dallas Institute of Funeral Service,Dallas,TX,75227-4314,75227,Private for Profit,32.771368,-96.683404,776.0,20670.0,,13200.0,13200.0,,Dallas,70732,2573799,359882,2213917,13.982521556656131
34,34,Dallas Theological Seminary,Dallas,TX,75204,75204,Private for Profit,32.795361,-96.780497,,,,,,,Dallas,70732,2573799,359882,2213917,13.982521556656131
35,35,University of Dallas,Irving,TX,75062-4736,75062,Private for Profit,32.846221,-96.919512,1446.0,63310.0,,48000.0,48000.0,0.587,Dallas,70732,2573799,359882,2213917,13.982521556656131
36,36,Del Mar College,Corpus Christi,TX,78404-3897,78404,Public,27.763619,-97.40762,9104.0,11899.0,,3380.0,5990.0,,Nueces,64027,345480,59784,285696,17.30461965960403
37,37,East Texas Baptist University,Marshall,TX,75670-1498,75670,Private for Profit,32.557847,-94.374488,1324.0,40625.0,,28910.0,28910.0,0.677,Harrison,63427,66994,10946,56048,16.338776606860318
38,38,Texas A&M University-Texarkana,Texarkana,TX,75503,75503,Public,33.490482,-94.103617,1758.0,21204.0,,7930.0,20659.0,0.9148,Bowie,56628,86991,15117,71874,17.37765975790599
39,39,Texas A & M University-Commerce,Commerce,TX,75429-3011,75429,Public,33.242112,-95.904579,7317.0,22475.0,,10026.0,22266.0,0.8645,Hunt,66885,98688,12082,86606,12.242623216601816
40,40,Dallas College,Dallas,TX,75215-3604,75215,Public,32.766319,-96.794036,34709.0,9595.0,,2370.0,6000.0,,Dallas,70732,2573799,359882,2213917,13.982521556656131
41,41,El Paso Community College,El Paso,TX,79925-6507,79925,Public,31.773359,-106.373616,24129.0,12929.0,,3274.0,5314.0,,El Paso,55417,849872,165778,684094,19.50623152662989
42,42,Western Technical College,El Paso,TX,79924,79924,Private Non-Profit,31.877794,-106.425881,608.0,,23227.0,,,,El Paso,55417,849872,165778,684094,19.50623152662989
43,43,Western Technical College,El Paso,TX,79927,79927,Private Non-Profit,31.675953,-106.319269,1328.0,,,,,,El Paso,55417,849872,165778,684094,19.50623152662989
44,44,Episcopal Theological Seminary of the Southwest,Austin,TX,78705,78705,Private for Profit,30.293092,-97.732652,,,,,,,Travis,92731,1262697,142451,1120246,11.281487165963014
45,45,Exposito School of Hair Design,Amarillo,TX,79109-3208,79109,Private Non-Profit,35.183578,-101.881271,28.0,,21003.0,,,,Randall,78038,138573,13072,125501,9.433295086344382
46,46,Miami International University of Art & Design-Art Institute Dallas,Dallas,TX,75231-5993,75231,Private Non-Profit,32.871008,-96.767823,263.0,40240.0,,20794.0,20794.0,,Dallas,70732,2573799,359882,2213917,13.982521556656131
47,47,Fort Worth Beauty School,Benbrook,TX,76116,76116,Private Non-Profit,32.82338,-97.420695,72.0,,21429.0,,,,Tarrant,78872,2083760,229643,1854117,11.02060697969056
