,County,Median Income,Total Count,Below Poverty,Above Poverty,Poverty Rate
238,Washington,70043,33541,3988,29553,11.889925762499628
239,Webb,59984,264040,56471,207569,21.38728980457506
240,Wharton,59712,40955,5998,34957,14.645342449029423
241,Wheeler,58158,4887,896,3991,18.334356455903418
242,Wichita,58862,117321,18483,98838,15.754212800777353
243,Wilbarger,50769,12200,2244,9956,18.393442622950822
244,Willacy,42839,18905,5032,13873,26.617297011372653
245,Williamson,102851,612543,38840,573703,6.340779341205434
246,Wilson,89708,49678,5112,44566,10.290269334514273
247,Winkler,89155,7496,947,6549,12.63340448239061
248,Wise,85385,68603,6230,62373,9.081235514481873
249,Wood,61748,43538,5497,38041,12.625752216454591
250,Yoakum,80317,7606,1036,6570,13.620825663949512
251,Young,65565,17606,2767,14839,15.71623310235147
252,Zapata,35061,13739,5109,8630,37.18611252638475
253,Zavala,49243,9634,2987,6647,31.004774756072244
